Date,knn
2009-02-23,5.70515383206881
2009-02-27,5.437846073737512
2009-03-09,5.109153784238375
2009-03-18,5.446846081660344
2009-03-24,5.960076882289006
2009-04-01,5.925153805659368
2009-04-06,6.657692359044002
2009-04-09,6.632384556990403
2009-04-13,6.866769203772912
2009-04-23,6.997615410731389
2009-05-05,7.921230756319487
2009-05-12,8.069769345797026
2009-05-19,8.466923053448017
2009-05-21,8.810384603647085
2009-05-26,9.059230731083797
2009-05-27,9.326769168560322
2009-06-01,10.003692260155312
2009-06-04,9.820384612450233
2009-06-23,9.886538358835073
2009-06-26,9.847923058729906
2009-07-28,9.628384590148926
2009-07-29,9.681769444392277
2009-08-07,9.659307699937086
2009-08-14,9.826230856088491
2009-08-28,9.657769203186035
2009-09-02,9.621307739844688
2009-09-04,9.753384663508488
2009-09-15,10.40030758197491
2009-09-21,10.948769275958721
2009-09-23,11.029615475581242
2009-09-24,11.043999965374287
2009-10-05,11.21184620490441
2009-10-06,11.411692472604605
2009-10-08,11.803076964158278
2009-10-26,12.000384624187763
2009-11-12,13.113230631901668
2009-11-16,13.104923174931454
2009-11-17,13.438076972961426
2009-12-02,13.468615385202261
2009-12-04,13.789000071012056
2009-12-07,13.831615521357609
2009-12-21,12.376538643470177
2009-12-23,12.839076922490047
2009-12-31,13.104923174931454
2010-01-07,13.51800016256479
2010-01-13,12.909999994131235
2010-01-15,12.978769155649038
2010-01-21,13.604153926555927
2010-02-22,11.895461595975435
2010-02-24,11.901076977069561
2010-03-01,12.0813077046321
2010-03-05,12.599384527940016
2010-03-11,13.041846055250902
2010-03-15,13.181538581848145
2010-03-17,13.10315388899583
2010-03-18,13.26176929473877
2010-03-22,13.104923174931454
